USIA,BEKASI TIMUR LAKI-LAKI,BEKASI TIMUR PEREMPUAN,BEKASI BARAT LAKI-LAKI,BEKASI BARAT PEREMPUAN,BEKASI UTARA LAKI-LAKI,BEKASI UTARA PEREMPUAN,BEKASI SELATAN LAKI-LAKI,BEKASI SELATAN PEREMPUAN,RAWALUMBU LAKI-LAKI,RAWALUMBU PEREMPUAN,MEDANSATRIA LAKI-LAKI,MEDANSATRIA PEREMPUAN,BANTARGEBANG LAKI-LAKI,BANTARGEBANG PEREMPUAN,PONDOKGEDE LAKI-LAKI,PONDOKGEDE PEREMPUAN,JATIASIH LAKI-LAKI,JATIASIH PEREMPUAN,JATISAMPURNA LAKI-LAKI,JATISAMPURNA PEREMPUAN,MUSTIKAJAYA LAKI-LAKI,MUSTIKAJAYA PEREMPUAN,PONDOK MELATI LAKI-LAKI,PONDOK MELATI PEREMPUAN
51,1534,1633,1627,1749,2277,2438,1347,1412,1505,1533,1076,1139,811,646,1466,1522,1714,1630,769,749,1715,1552,964,910
52,1522,1602,1641,1728,2233,2428,1279,1365,1341,1530,1120,1108,669,520,1461,1493,1555,1468,699,762,1502,1341,905,834
53,1343,1591,1533,1689,2129,2311,1236,1327,1307,1470,1016,1053,628,499,1421,1409,1498,1446,677,649,1422,1250,787,803
54,1221,1489,1395,1520,1971,2204,1096,1197,1190,1444,885,1009,481,408,1266,1273,1314,1298,588,627,1187,1089,684,692
55,1122,1494,1276,1440,1783,2103,967,1157,1108,1216,813,878,445,320,1064,1120,1223,1150,546,557,1056,888,690,722
56,1333,1736,1500,1826,2107,2334,1183,1396,1310,1517,896,1070,462,456,1287,1334,1353,1441,617,650,1162,1015,758,829
57,1157,1567,1219,1457,1778,1999,953,1114,1088,1270,744,898,332,262,1057,1147,1097,1049,551,551,853,724,588,638
58,1185,1647,1196,1542,1823,1879,993,1148,1180,1261,784,869,364,268,999,1138,1090,1089,526,500,884,713,592,652
59,1322,1681,1243,1535,1793,1857,962,1178,1183,1231,842,815,319,251,975,1173,1007,956,545,429,742,637,633,662
60,1069,1487,1036,1258,1367,1512,830,952,943,887,655,649,238,187,857,1014,828,772,413,382,627,492,482,562
61,1340,1612,1248,1405,1635,1654,1053,1192,1175,1018,822,729,334,329,997,1097,954,997,463,466,729,678,515,650
62,1197,1347,1124,1210,1493,1306,816,959,914,738,677,601,210,193,829,1033,751,702,382,322,508,421,488,544
63,1214,1424,1208,1273,1560,1378,852,969,952,734,639,572,249,180,883,1049,811,805,411,365,528,518,524,560
64,1113,1195,953,1022,1198,946,781,854,736,586,558,442,184,149,805,878,639,583,301,274,432,381,422,450
65,1026,985,878,991,1109,817,726,747,629,500,476,369,173,133,768,804,547,520,257,237,355,322,407,446
66,997,892,948,889,1040,831,728,781,603,480,431,362,172,170,720,855,562,627,252,220,372,393,394,481
67,985,775,899,737,932,637,748,644,540,352,390,294,104,109,729,727,490,476,232,188,311,262,433,389
68,945,646,797,700,711,527,613,548,459,287,298,294,123,94,671,678,491,442,192,160,265,268,408,355
69,871,615,777,612,690,514,611,537,410,323,304,269,95,91,677,555,435,404,183,159,253,267,347,335
70,590,380,481,403,414,325,413,344,271,181,222,197,83,77,501,432,293,271,115,129,169,149,235,258
71,544,475,560,561,471,405,450,404,311,296,217,223,120,140,575,521,356,414,153,141,251,290,284,282
72,411,339,432,334,308,272,336,275,184,130,160,135,66,43,402,361,242,258,99,109,122,137,191,201
73,368,277,391,286,293,275,264,267,169,169,136,150,54,79,378,339,216,263,76,101,134,146,201,186
74,241,207,263,285,215,231,200,224,135,123,118,131,40,43,276,277,167,237,70,71,111,127,144,147
75,201,178,244,213,164,180,177,148,84,123,84,103,37,33,193,221,146,180,63,73,71,104,117,140
76,211,217,260,292,228,226,198,218,104,168,106,130,62,84,220,220,186,258,79,82,129,167,131,163
77,149,139,179,165,125,141,127,113,89,60,74,68,19,25,217,139,137,164,58,45,66,67,113,104
78,137,121,208,184,117,132,126,103,88,87,70,82,22,37,175,174,167,193,60,59,73,93,102,109
79,149,153,191,173,150,148,136,140,85,94,75,81,34,37,197,150,175,161,63,92,64,88,118,102
80,86,75,88,94,61,71,61,67,39,50,38,50,22,17,92,97,90,89,39,32,45,43,69,57
81,95,102,114,154,85,137,99,116,73,83,60,70,40,55,138,127,148,138,39,66,52,84,75,80
82,58,72,72,75,53,68,40,82,33,52,31,31,13,16,59,74,71,69,31,41,24,49,49,37
